"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV"
2019-01-20 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1097,0,"",,
2019-01-20 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-21 11:00:00,="MAC030004404",1,"Channel 1",2,"East",1568,0,"",,
2019-01-21 11:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-21 12:00:00,="MAC030004404",1,"Channel 1",2,"East",1517,0,"",,
2019-01-21 12:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-21 13:00:00,="MAC030004404",1,"Channel 1",2,"East",1533,0,"",,
2019-01-21 13:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-21 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1541,0,"",,
2019-01-21 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-21 15:00:00,="MAC030004404",1,"Channel 1",2,"East",1221,0,"",,
2019-01-21 15:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-22 12:00:00,="MAC030004404",1,"Channel 1",2,"East",1283,0,"",,
2019-01-22 12:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-23 10:00:00,="MAC030004404",1,"Channel 1",2,"East",1545,0,"",,
2019-01-23 10:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-23 11:00:00,="MAC030004404",1,"Channel 1",2,"East",1553,0,"",,
2019-01-23 11:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-23 12:00:00,="MAC030004404",1,"Channel 1",2,"East",1443,0,"",,
2019-01-23 12:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-23 13:00:00,="MAC030004404",1,"Channel 1",2,"East",1522,0,"",,
2019-01-23 13:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-23 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1446,0,"",,
2019-01-23 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-23 15:00:00,="MAC030004404",1,"Channel 1",2,"East",1247,0,"",,
2019-01-23 15:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-23 16:00:00,="MAC030004404",1,"Channel 1",2,"East",1001,0,"",,
2019-01-23 16:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-24 15:00:00,="MAC030004404",1,"Channel 1",2,"East",1023,0,"",,
2019-01-24 15:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-26 11:00:00,="MAC030004404",1,"Channel 1",2,"East",1204,0,"",,
2019-01-26 11:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-26 12:00:00,="MAC030004404",1,"Channel 1",2,"East",1319,0,"",,
2019-01-26 12:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-26 13:00:00,="MAC030004404",1,"Channel 1",2,"East",1289,0,"",,
2019-01-26 13:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-26 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1248,0,"",,
2019-01-26 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-27 11:00:00,="MAC030004404",1,"Channel 1",2,"East",1189,0,"",,
2019-01-27 11:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-27 12:00:00,="MAC030004404",1,"Channel 1",2,"East",1205,0,"",,
2019-01-27 12:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-27 13:00:00,="MAC030004404",1,"Channel 1",2,"East",1112,0,"",,
2019-01-27 13:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-27 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1070,0,"",,
2019-01-27 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-27 15:00:00,="MAC030004404",1,"Channel 1",2,"East",1072,0,"",,
2019-01-27 15:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-27 16:00:00,="MAC030004404",1,"Channel 1",2,"East",1192,0,"",,
2019-01-27 16:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-27 17:00:00,="MAC030004404",1,"Channel 1",2,"East",1138,0,"",,
2019-01-27 17:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-27 18:00:00,="MAC030004404",1,"Channel 1",2,"East",1090,0,"",,
2019-01-27 18:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-28 10:00:00,="MAC030004404",1,"Channel 1",2,"East",1402,0,"",,
2019-01-28 10:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-28 11:00:00,="MAC030004404",1,"Channel 1",2,"East",1429,0,"",,
2019-01-28 11:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-28 12:00:00,="MAC030004404",1,"Channel 1",2,"East",1422,0,"",,
2019-01-28 12:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-28 13:00:00,="MAC030004404",1,"Channel 1",2,"East",1475,0,"",,
