"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV"
2018-03-18 07:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5199,0,"",,
2018-03-18 07:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 08:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5250,0,"",,
2018-03-18 08:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 09:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5943,0,"",,
2018-03-18 09:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 10:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5306,0,"",,
2018-03-18 10:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 11:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5577,0,"",,
2018-03-18 11:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 12:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6382,0,"",,
2018-03-18 12:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 13:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6024,0,"",,
2018-03-18 13:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 14:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6037,0,"",,
2018-03-18 14:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 15:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5871,0,"",,
2018-03-18 15:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 16:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5555,0,"",,
2018-03-18 16:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 17:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6103,0,"",,
2018-03-18 17:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 18:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6039,0,"",,
2018-03-18 18:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 19:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5425,0,"",,
2018-03-18 19:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 20:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5951,0,"",,
2018-03-18 20:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 21:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5796,0,"",,
2018-03-18 21:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 22:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",4947,0,"",,
2018-03-18 22:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 23:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",4792,0,"",,
2018-03-18 23:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-19 00:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",4901,0,"",,
