"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV"
2018-01-02 20:00:00,="MAC030004001",1,"Channel 1",2,"South",711,0,"",,
2018-01-02 20:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 21:00:00,="MAC030004001",1,"Channel 1",2,"South",591,0,"",,
2018-01-02 21:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 22:00:00,="MAC030004001",1,"Channel 1",2,"South",732,0,"",,
2018-01-02 22:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 23:00:00,="MAC030004001",1,"Channel 1",2,"South",443,0,"",,
2018-01-02 23:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 00:00:00,="MAC030004001",1,"Channel 1",2,"South",337,0,"",,
2018-01-03 00:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 01:00:00,="MAC030004001",1,"Channel 1",2,"South",212,0,"",,
2018-01-03 01:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 02:00:00,="MAC030004001",1,"Channel 1",2,"South",170,0,"",,
2018-01-03 02:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 03:00:00,="MAC030004001",1,"Channel 1",2,"South",170,0,"",,
2018-01-03 03:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 04:00:00,="MAC030004001",1,"Channel 1",2,"South",213,0,"",,
2018-01-03 04:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 05:00:00,="MAC030004001",1,"Channel 1",2,"South",413,0,"",,
2018-01-03 05:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 06:00:00,="MAC030004001",1,"Channel 1",2,"South",1141,0,"",,
2018-01-03 06:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 07:00:00,="MAC030004001",1,"Channel 1",2,"South",1482,0,"",,
2018-01-03 07:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 08:00:00,="MAC030004001",1,"Channel 1",2,"South",1369,0,"",,
2018-01-03 08:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 09:00:00,="MAC030004001",1,"Channel 1",2,"South",1369,0,"",,
2018-01-03 09:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 10:00:00,="MAC030004001",1,"Channel 1",2,"South",1317,0,"",,
2018-01-03 10:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 11:00:00,="MAC030004001",1,"Channel 1",2,"South",1260,0,"",,
2018-01-03 11:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 12:00:00,="MAC030004001",1,"Channel 1",2,"South",1361,0,"",,
2018-01-03 12:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 13:00:00,="MAC030004001",1,"Channel 1",2,"South",1408,0,"",,
2018-01-03 13:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 14:00:00,="MAC030004001",1,"Channel 1",2,"South",1420,0,"",,
